date,Algodão,CONCENTRADO,Complemento alimenta,Farinha de Milho,Farinha de Soja,Feno,Silagem de milho,lote,leite,qtd_animais_alimentados
2021-07-02T06:24:00,,,,,,,,1,2826,
2021-07-02T06:24:00,,,,,,,,2,2826,
2021-07-02T06:24:00,58,,,120,136,34,978,3,2826,24
2021-07-04T07:18:00,,,,,,,,1,2793,
2021-07-04T07:18:00,,,,,,,,2,2793,
2021-07-04T07:18:00,54,,,114,130,32,936,3,2793,23
2021-07-05T07:36:00,,,,,,,,1,2939,
2021-07-05T07:36:00,,,,,,,,2,2939,
2021-07-05T07:36:00,54,,,114,130,32,936,3,2939,23
2021-07-06T07:25:00,,,,,,,,1,2864,
2021-07-06T07:25:00,,,,,,,,2,2864,
2021-07-06T07:25:00,54,,,114,130,32,936,3,2864,23
2021-07-03T07:36:00,,,,,,,,1,3043,
2021-07-03T07:36:00,,,,,,,,2,3043,
2021-07-03T07:36:00,54,,,114,130,32,936,3,3043,23
2021-07-07T07:32:00,,,,,,,,1,2879,
2021-07-07T07:32:00,,,,,,,,2,2879,
2021-07-07T07:32:00,52,,,110,126,30,904,3,2879,23
2021-07-08T07:15:00,,,,,,,,1,2700,
2021-07-08T07:15:00,,,,,,,,2,2700,
2021-07-08T07:15:00,52,,,110,126,30,904,3,2700,23
2021-07-10T06:41:00,,,,,,,,1,2763,
2021-07-10T06:41:00,,,,,,,,2,2763,
2021-07-10T06:41:00,52,,,110,126,30,904,3,2763,23
2021-07-09T07:28:00,,,,,,,,1,2695,
2021-07-09T07:28:00,,,,,,,,2,2695,
2021-07-09T07:28:00,52,,,110,126,30,904,3,2695,23
2021-07-11T07:15:00,,,,,,,,1,2883,
2021-07-11T07:15:00,,,,,,,,2,2883,
2021-07-11T07:15:00,52,,,110,126,30,904,3,2883,23
2021-07-12T07:30:00,,,,,,,,1,3019.6,
2021-07-12T07:30:00,,,,,,,,2,3019.6,
2021-07-12T07:30:00,52,,,110,126,30,904,3,3019.6,23
2021-07-13T07:17:00,,,,,,,,1,2809,
2021-07-13T07:17:00,,,,,,,,2,2809,
2021-07-13T07:17:00,52,,,110,126,30,904,3,2809,23
2021-07-14T07:25:00,,,,,,,,1,2864,
2021-07-14T07:25:00,,,,,,,,2,2864,
2021-07-14T07:25:00,52,,,110,126,30,904,3,2864,23
2021-07-15T07:40:00,,,,,,,,1,2892,
2021-07-15T07:40:00,,,,,,,,2,2892,
2021-07-15T07:40:00,52,,,110,126,30,904,3,2892,23
2021-07-16T06:34:00,,,,,,,,1,2831,
2021-07-16T06:34:00,,,,,,,,2,2831,
2021-07-16T06:34:00,52,,,110,126,30,904,3,2831,23
2021-07-18T06:41:00,,,,,,,,1,2845,
2021-07-18T06:41:00,,,,,,,,2,2845,
2021-07-18T06:41:00,52,,,110,126,30,904,3,2845,23
2021-07-17T07:17:00,,,,,,,,1,2969,
2021-07-17T07:17:00,,,,,,,,2,2969,
2021-07-17T07:17:00,52,,,110,126,30,904,3,2969,23
2021-07-19T07:41:00,,,,,,,,1,2851,
2021-07-19T07:41:00,,,,,,,,2,2851,
2021-07-19T07:41:00,52,,,110,126,30,904,3,2851,23
2021-07-20T07:22:00,,,,,,,,1,2715,
2021-07-20T07:22:00,,,,,,,,2,2715,
2021-07-20T07:22:00,52,,,110,126,30,904,3,2715,23
2021-07-21T08:00:00,,,,,,,,1,2840.1,
2021-07-21T08:00:00,,,,,,,,2,2840.1,
2021-07-21T08:00:00,56,,,116,132,32,944,3,2840.1,24
2021-07-22T07:32:00,,,,,,,,1,2939,
2021-07-22T07:32:00,,,,,,,,2,2939,
2021-07-22T07:32:00,56,,,116,132,32,944,3,2939,24
2021-07-23T07:06:00,,,,,,,,1,2788,
2021-07-23T07:06:00,,,,,,,,2,2788,
2021-07-23T07:06:00,56,,,116,132,32,944,3,2788,24
2021-07-24T06:09:00,,,,,,,,1,3015,
