Brinco,Peso,Prod. Leite,date
1069,768,36.3,03
1069,768,42.1,03
1069,768,42.7,03
1069,768,42.6,03
1069,759,40.4,04
1069,759,38.9,04
1069,759,39.8,04
1069,771,38.7,05
1069,771,36.2,05
1069,771,43.3,05
1069,764,42.6,07
1069,764,37.5,07
1069,764,39.5,07
1069,796,28.9,08
1069,796,28.9,08
1069,796,31,08
1069,803,28.6,09
1069,803,24.2,09
1428,650,32.1,02
1428,650,37.8,02
1428,650,37.8,03
1428,650,44,03
1428,650,46.9,03
1428,650,44.9,03
1428,655,48.5,04
1428,655,46.6,04
1428,655,47.7,04
1428,649,45.4,05
1428,649,53,05
1428,649,49.6,05
1428,661,45.2,07
1428,661,39.2,07
1428,661,45.8,07
1428,701,24,08
1428,701,24,08
1428,701,36.3,08
1428,732,34,09
1428,732,28.9,09
2195,659,38.8,04
2195,659,46,04
2195,659,45.1,04
2195,643,46,05
2195,643,46.5,05
2195,643,44.6,05
2195,656,26.6,11
2195,656,27.4,11
2195,656,28.2,11
2195,685,26.7,12
2195,685,28,12
2195,643,23.8,01
2195,643,24,01
2414,647,23.4,01
2414,647,24.2,01
2414,653,23.2,02
2414,653,20.8,02
2414,653,19.8,02
2414,592,27.5,09
2414,592,27.3,09
2592,493,25.3,02
2592,493,32.3,03
2592,493,33.6,03
2592,493,36.2,03
2592,493,34.4,03
2592,524,36.7,04
2592,524,36.4,04
2592,524,38.5,04
2592,544,35.3,05
2592,544,34,05
2592,544,26.1,05
2592,569,36.3,07
2592,569,31.5,07
2592,569,33.4,07
2592,596,25.2,08
2592,596,25.2,08
2592,596,30.5,08
2592,629,30.4,09
2592,629,35.4,09
2592,629,26.3,09
2592,621,29.6,10
3030,606,37.2,03
3030,606,40.4,03
3030,606,39.3,03
3030,645,39.4,04
3030,645,47.2,04
3030,645,43.7,04
3030,635,39.6,05
3030,635,41.6,05
3030,635,38.4,05
3030,653,45.3,07
3030,653,42.6,07
3030,653,43.4,07
3030,670,33.6,08
3030,670,33.6,08
3030,670,42.7,08
3030,695,39.8,09
3030,695,37.6,09
3030,695,40,09
3030,684,39.1,10
3030,684,37.5,10
3030,684,38.4,10
3030,684,39,10
3030,703,39.4,11
3030,703,37,11
3030,703,42.7,11
3030,710,0,12
3030,710,10.4,12
3038,671,32.4,03
3038,671,35.8,03
3038,671,38.3,03
3038,671,36.2,03
3038,674,41.4,04
3038,674,42.1,04
3038,674,39.5,04
3038,669,35.4,05
3038,669,37.3,05
3038,669,35.5,05
3038,658,32.9,07
3038,658,31,07
3038,658,29.6,07
3038,689,28.5,08
3038,689,28.5,08
3038,689,21.9,08
3038,706,24.4,09
3038,706,27.5,09
3063,685,36.3,09
3063,685,41.6,09
3063,685,40.5,09
3063,676,40.3,10
3063,676,38.2,10
3063,676,39.9,10
3063,676,43.2,10
3063,652,35.8,11
3063,652,38.1,11
3063,652,38.3,11
3063,679,38.5,12
3063,679,41.3,12
3063,727,41.8,01
3063,727,43.8,01
3063,727,40.4,01
3063,696,34.6,02
3063,696,35,02
3063,696,34.6,02
3122,639,34.5,02
3122,639,46.6,02
3122,639,44.3,03
3122,639,49.9,03
3122,639,52.8,03
3122,639,54.1,03
3122,652,51.3,04
3122,652,55.6,04
3122,652,53,04
3122,661,51.6,05
3122,661,59,05
3122,661,56.5,05
3122,663,52.5,07
3122,663,45,07
3122,663,53.4,07
3122,683,39,08
3122,683,39,08
3122,683,40.8,08
3122,701,41.1,09
3122,701,21.9,09
3122,701,38.6,09
3122,668,36.7,10
3122,668,37.7,10
3122,668,41.3,10
3122,668,40.1,10
3122,677,40.5,11
3122,677,39.1,11
3122,677,35.8,11
3122,679,39.5,12
3122,679,44.3,12
3122,761,39.8,01
3122,761,38.7,01
3122,761,29.8,01
3122,639,28.2,02
3122,639,23.6,02
3122,639,25.2,02
3142,625,22.2,01
3142,625,21.9,01
3142,639,25.4,02
3142,639,24.7,02
3142,639,20.4,02
3142,639,18.7,03
3142,639,22,03
3142,639,19.9,03
3142,639,21.7,03
3142,653,22,04
3142,653,25.3,04
3142,653,24.2,04
3142,754,26.2,11
3142,703,39.5,12
3142,703,40.6,12
3142,625,41.9,01
3142,625,40.5,01
3142,625,40.9,01
3142,639,30.4,02
3142,639,38.9,02
3142,639,36.8,02
3482,736,23.9,01
3482,736,23.3,01
3482,740,24.4,02
3482,740,25.6,02
3482,740,25.6,02
3482,740,25.7,03
3482,740,21.8,03
3500,615,40.1,09
3500,615,42.7,09
3500,615,45.3,09
3500,634,43.3,10
3500,634,38.9,10
3500,634,42.8,10
3500,634,40.2,10
3500,623,39.5,11
3500,623,39.7,11
3500,623,43.8,11
3500,620,39.8,12
3500,620,40.2,12
3500,606,42.1,01
3500,606,38.8,01
3500,606,37.5,01
3500,637,33.8,02
3500,637,35.2,02
3500,637,31.3,02
3451,613,25,01
3451,613,23.9,01
3451,636,24.5,02
3451,636,20.4,02
3451,636,19.6,02
3451,636,17.9,03
3579,675,30.3,01
3579,675,29.6,01
3579,677,28.2,02
3579,677,32.7,02
3579,677,34.1,02
3579,677,30.7,03
3579,677,33.5,03
3579,677,35,03
3579,677,33.3,03
3148,617,40,01
3148,617,42.4,01
3148,605,46,02
3148,605,44.9,02
3148,605,48.1,02
3148,605,44.5,03
3148,605,43.3,03
3148,605,44.8,03
3148,605,43.9,03
3148,633,41.1,04
3148,633,48.7,04
3148,633,42.8,04
3148,604,41.8,05
3148,604,33.7,05
3148,604,35.9,05
3148,629,44.9,07
3148,629,36.7,07
3148,629,43.8,07
3148,630,34.8,08
3148,630,34.8,08
3148,630,38.1,08
3148,680,36.8,09
3148,680,41.3,09
3148,680,41.5,09
3148,638,38.1,10
3148,638,37.4,10
3148,638,37.1,10
3148,638,42.3,10
3148,655,31.7,11
3148,605,34.5,02
3148,605,38.8,02
3148,605,38.7,02
3650,638,24.6,01
3650,638,23.9,01
3650,654,24.9,02
3650,654,23.3,02
3650,654,21.1,02
3650,654,19.8,03
3650,654,19.1,03
3650,654,22.2,03
3653,722,39.4,04
3653,722,43.1,04
3653,701,52.1,05
3653,701,44,05
3653,701,49.5,05
3653,705,40,07
3653,705,36.1,07
3653,705,44.9,07
3653,731,34.4,08
3653,731,34.4,08
3653,731,32.3,08
3653,755,38.2,09
3653,755,50.5,09
3653,755,33.1,09
3653,757,36.2,10
3785,602,45.4,01
3785,602,44.6,01
3785,585,52.3,02
3785,585,48.2,02
3785,585,52.3,02
3785,585,48.8,03
3785,585,48.6,03
3785,585,46.4,03
3785,585,46.1,03
3785,557,33.4,04
3785,557,42.5,04
3785,557,37.4,04
3785,616,38.9,05
